cd_point,Modele,Usage,insee_commune,nom_commune,cd_hydrogeo,nom_hydrogeo,cd_ce,lib_ce,type_point,Ressource,BSS,lib_point,lieudit,X_L93Original,Y_L93Original,X_L93New,Y_L93New,profondeur,Milieur recepteur,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Somme
A24303016,,Agricole,"24303",Nanteuil-Auriac-de-Bourzac,,,P7250500,La Pude,CONT,Eau de surface,,LE MOULIN DU PONT,LE MOULIN DU PONT,487739.3,6479316.5,488272,6479194,"0",,17750,7145,10620,4155,0,5180,2965,0,0,0,0,0,5365,4265,0,0,4890,62 335
A24303017,,Agricole,"24303",Nanteuil-Auriac-de-Bourzac,,,P7250500,La Pude,CONT,Eau de surface,,MOULIN DU PONT SUD,MOULIN DU PONT SUD,487739.3,6479316.5,488272,6479194,"0",,17350,10125,10035,9650,6735,10315,7810,9990,4200,5195,6100,330,7415,6665,2980,0,8805,123 700
A24303018,,Agricole,"24303",Nanteuil-Auriac-de-Bourzac,,,P72-0400,La Lizonne,CONT,Eau de surface,,MOULIN DU TREUIL,MOULIN DU TREUIL,487739.3,6479316.5,485438,6479601,"0",,5153,3720,1780,1810,0,2340,0,,,,,,,,,,,14 803
A24303019,,Agricole,"24303",Nanteuil-Auriac-de-Bourzac,,,P7250500,La Pude,CONT,Eau de surface,,LA FAUCHERIE,LA FAUCHERIE,487739.3,6479316.5,487739.3,6479316.5,"0",,8440,9500,6670,9510,7270,9450,10690,7380,9200,5690,6870,770,0,,,,,91 440
A24303022,,Agricole,"24303",Nanteuil-Auriac-de-Bourzac,,,P72-0400,La Lizonne,CONT,Eau de surface,,LA COTE,LA COTE,487739.3,6479316.5,484749,6478080,"0",,11720,8940,9360,11370,4030,4940,9970,5780,9310,6630,8170,0,0,,,,,90 220
A24303025,,Agricole,"24303",Nanteuil-Auriac-de-Bourzac,,,,,CONT,Retenue,,CHAUTERAN,CHAUTERAN,487739.3,6479316.5,487739.3,6479316.5,"0",,35361,36646,49814,30541,14134,19923,21698,9253,35638,28786,19483,1210,2159,22677,2300,0,0,329 623
A24303027,,Agricole,"24303",Nanteuil-Auriac-de-Bourzac,,,P72-0400,La Lizonne,CONT,Eau de surface,,Lizonne,Lizonne,487739.3,6479316.5,484749,6478080,"0",,,,,,,,,0,0,0,0,50178,126539,136363,81519,116207,129336,640 142
A24303028,,Agricole,"24303",Nanteuil-Auriac-de-Bourzac,,,,,CONT,Eau de surface,,SOUS - La Pude,SOUS - La Pude,487739.3,6479316.5,487739.3,6479316.5,"0",,,,,,,,,0,0,0,0,14450,41310,29558,45321,29899,50640,211 178
A24353003,,Agricole,"24353",La Rochebeaucourt-et-Argentine,,,,,CONT,Eau de surface,,CHEZ MERLET DOMINIQUE,CHEZ MERLET DOMINIQUE,495541.3,6488561,494414,6489613,"0",,31370,20560,26760,23860,21450,28240,28180,24800,24560,26590,27930,0,27890,42140,15650,39740,41700,451 420
A24353004,,Agricole,"24353",La Rochebeaucourt-et-Argentine,,,,,CONT,Eau de surface,,CHEZ MERLET DOMINIQUE,CHEZ MERLET DOMINIQUE,495541.3,6488561,494414,6489613,"0",,27930,22360,26490,18250,18220,39470,14290,20270,23300,25410,16710,260,10050,16580,0,0,0,279 590
A24353007,,Agricole,"24353",La Rochebeaucourt-et-Argentine,,,,,CONT,Retenue,,PIERRES DE BEIX,PIERRES DE BEIX,495541.3,6488561,495639,6489718,"0",,43050,53590,35890,5103,1943,3201,4795,,,,,,,56690,39050,48130,40550,331 992
A24353008,,Agricole,"24353",La Rochebeaucourt-et-Argentine,,,P72-0400,La Lizonne,CONT,Eau de surface,,NADAILLAC,NADAILLAC,495541.3,6488561,493171,6488533,"0",,13330,17190,15850,15780,7550,10980,13010,11340,13420,15380,15220,11840,15880,18770,16550,14910,0,227 000
A24353009,,Agricole,"24353",La Rochebeaucourt-et-Argentine,,,,,CONT,Retenue,,PIERRE DE BEIX,PIERRE DE BEIX,495541.3,6488561,495639,6489718,"0",,44580,47180,47870,52470,32240,35220,42930,41200,54530,31930,48670,41700,49450,43930,39910,30550,24700,709 060
