obsnme,obsval,weight,obgnme
loc001n0405,162.94,1.0,07346X0017
loc001n0407,163.05,1.0,07346X0017
loc001n0409,163.09,1.0,07346X0017
loc001n0411,163.03,1.0,07346X0017
loc001n0413,162.93,1.0,07346X0017
loc001n0415,162.78,1.0,07346X0017
loc001n0417,162.66,1.0,07346X0017
loc001n0419,162.58,1.0,07346X0017
loc001n0421,162.52,1.0,07346X0017
loc001n0423,162.35,1.0,07346X0017
loc001n0425,162.23,1.0,07346X0017
loc001n0427,165.25,1.0,07346X0017
loc001n0429,166.84,1.0,07346X0017
loc001n0433,167.96,1.0,07346X0017
loc001n0434,168.1,1.0,07346X0017
loc001n0436,168.29,1.0,07346X0017
loc001n0438,168.38,1.0,07346X0017
loc001n0440,168.53,1.0,07346X0017
loc001n0442,169.2,1.0,07346X0017
loc001n0444,169.52,1.0,07346X0017
loc001n0446,169.73,1.0,07346X0017
loc001n0448,169.79,1.0,07346X0017
loc001n0450,169.67,1.0,07346X0017
loc001n0452,169.32,1.0,07346X0017
loc001n0454,169.13,1.0,07346X0017
loc001n0456,169.06,1.0,07346X0017
loc001n0458,168.88,1.0,07346X0017
loc001n0460,168.68,1.0,07346X0017
loc001n0461,169.64,1.0,07346X0017
loc001n0462,170.04,1.0,07346X0017
loc001n0464,170.2,1.0,07346X0017
loc001n0466,170.61,1.0,07346X0017
loc001n0468,170.52,1.0,07346X0017
loc001n0470,170.22,1.0,07346X0017
loc001n0472,169.9,1.0,07346X0017
loc001n0474,169.62,1.0,07346X0017
loc001n0476,169.32,1.0,07346X0017
loc001n0478,169.02,1.0,07346X0017
loc001n0480,168.77,1.0,07346X0017
loc001n0482,168.44,1.0,07346X0017
loc001n0484,168.22,1.0,07346X0017
loc001n0486,168.15,1.0,07346X0017
loc001n0488,168.51,1.0,07346X0017
loc001n0492,168.34,1.0,07346X0017
loc001n0493,168.27,1.0,07346X0017
loc001n0495,169.01,1.0,07346X0017
loc001n0497,170.27,1.0,07346X0017
loc001n0499,170.09,1.0,07346X0017
loc001n0501,169.84,1.0,07346X0017
loc001n0503,169.52,1.0,07346X0017
loc001n0505,169.22,1.0,07346X0017
loc001n0507,168.98,1.0,07346X0017
loc001n0509,168.73,1.0,07346X0017
loc001n0511,168.53,1.0,07346X0017
loc001n0513,168.34,1.0,07346X0017
loc001n0515,168.08,1.0,07346X0017
loc001n0517,167.92,1.0,07346X0017
loc001n0519,167.73,1.0,07346X0017
loc001n0522,167.52,1.0,07346X0017
loc001n0523,167.43,1.0,07346X0017
loc001n0525,167.29,1.0,07346X0017
loc001n0527,167.2,1.0,07346X0017
